timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
245626576,0.0,0.0,0.0
245827384,0.0,0.0,0.0
246027251,0.0,0.0,0.0
246232355,0.0,0.0,0.0
246433349,0.0,0.0,0.0
246633068,0.0,0.0,0.0
246838183,0.0,0.0,0.0
247038757,0.0,0.0,0.0
247238762,0.0,0.0,0.0
247443701,0.0,0.0,0.0
247644135,0.0,0.0,0.0
247848347,0.0,0.0,0.0
248049557,0.0,0.0,0.0
248250713,0.0,0.0,0.0
248455331,0.0,0.0,0.0
248658934,0.0,0.0,0.0
248859511,0.0,0.0,0.0
249063956,0.0,0.0,0.0
249264833,0.0,0.0,0.0
249465840,0.0,0.0,0.0
249670145,0.0,0.0,0.0
249870057,0.0,0.0,0.0
250074831,0.0,0.0,0.0
250279217,0.0,0.0,0.0
250480434,0.0,0.0,0.0
250684482,0.0,0.0,0.0
250888754,0.0,0.0,0.0
251089642,0.0,0.0,0.0
251294413,0.0,0.0,0.0
251494394,0.0,0.0,0.0
252099485,0.0,0.0,0.0
252705279,0.0,0.0,0.0
252910258,0.0,0.0,0.0
253110948,0.0,0.0,0.0
253311185,0.0,0.0,0.0
253515373,0.0,0.0,0.0
253916184,0.0,0.0,0.0
254121129,0.0,0.0,0.0
254321744,0.0,0.0,0.0
254526200,0.0,0.0,0.0
254931686,0.0,0.0,0.0
255136037,0.0,0.0,0.0
255336829,0.0,0.0,0.0
255537927,0.0,0.0,0.0
255741247,0.0,0.0,0.0
255942794,0.0,0.0,0.0
256143221,0.0,0.0,0.0
256346884,0.0,0.0,0.0
256547678,0.0,0.0,0.0
256748667,0.0,0.0,0.0
256952526,0.0,0.0,0.0
257153343,0.0,0.0,0.0
257354080,0.0,0.0,0.0
257558411,0.0,0.0,0.0
257759460,0.0,0.0,0.0
257960003,0.0,0.0,0.0
258163666,0.0,0.0,0.0
258364533,0.0,0.0,0.0
258565011,0.0,0.0,0.0
258769884,0.0,0.0,0.0
258970124,0.0,0.0,0.0
259170044,0.0,0.0,0.0
259375910,0.0,0.0,0.0
259576646,0.0,0.0,0.0
259777262,0.0,0.0,0.0
259980588,0.0,0.0,0.0
260181275,0.0,0.0,0.0
260381248,0.0,0.0,0.0
260586430,0.0,0.0,0.0
260786893,0.0,0.0,0.0
260986854,0.0,0.0,0.0
