timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
183406794,10.683412,10.611562,0.0,0.0,0.0,0.0,0.54279166,1.1061424,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
183912418,10.545857,10.614658,0.0,0.0,0.0,0.0,0.5417989,1.1063975,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
184406044,9.934504,10.603387,0.0,0.0,0.0,0.0,0.53646547,1.1077694,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
184910817,10.698696,10.61002,0.0,0.0,0.0,0.0,0.5406788,1.1066853,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
185415622,10.561141,10.616,0.0,0.0,0.0,0.0,0.54378206,1.1058882,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
185908415,10.927954,10.611434,0.0,0.0,0.0,0.0,0.5418747,1.106378,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
186413210,10.866818,10.621839,0.0,0.0,0.0,0.0,0.545821,1.105365,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
186918831,10.790399,10.629749,0.0,0.0,0.0,0.0,0.549043,1.1045394,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
187411611,10.882102,10.626261,0.0,0.0,0.0,0.0,0.5470646,1.1050463,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
187916408,10.897386,10.608855,0.0,0.0,0.0,0.0,0.5407322,1.1066716,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
188421223,10.866818,10.626157,0.0,0.0,0.0,0.0,0.5481575,1.1047662,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
188914013,10.117909,10.594535,0.0,0.0,0.0,0.0,0.53490764,1.1081707,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
189418847,10.576425,10.617587,0.0,0.0,0.0,0.0,0.5438431,1.1058725,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
189923621,10.668128,10.606736,0.0,0.0,0.0,0.0,0.54045993,1.1067415,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
