timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
106478118,-0.11522286,-0.058234613,0.4462164
106500196,-0.11522286,-0.058234613,0.44937232
106524134,-0.109249845,-0.055304587,0.4525283
106546116,-0.11223636,-0.055304587,0.44937232
106569531,-0.109249845,-0.055304587,0.4462164
106594118,-0.10626335,-0.055304587,0.44937232
106617624,-0.10327685,-0.058234613,0.44937232
106638046,-0.10626335,-0.058234613,0.4462164
106660130,-0.10327685,-0.058234613,0.44306046
106683047,-0.10626335,-0.058234613,0.44306046
106705726,-0.10327685,-0.058234613,0.4462164
106730183,-0.10626335,-0.055304587,0.4462164
106755051,-0.11223636,-0.058234613,0.44306046
106777544,-0.11223636,-0.055304587,0.4462164
106800137,-0.11522286,-0.058234613,0.44306046
106821047,-0.11522286,-0.058234613,0.44937232
106844137,-0.12119586,-0.058234613,0.44937232
106865047,-0.12418236,-0.055304587,0.44306046
106887047,-0.12716886,-0.055304587,0.44306046
106908112,-0.13314186,-0.055304587,0.44306046
106930339,-0.13612837,-0.058234613,0.43990448
106953111,-0.13612837,-0.055304587,0.44306046
106976107,-0.13911487,-0.05237456,0.43990448
106997047,-0.14210138,-0.055304587,0.44306046
107019092,-0.14807437,-0.05237456,0.4335926
107041056,-0.15106088,-0.05237456,0.43674853
107064130,-0.15404737,-0.05237456,0.43674853
107085046,-0.15703388,-0.049444526,0.43043664
107107046,-0.16300689,-0.049444526,0.43043664
107130326,-0.16599338,-0.05237456,0.4272807
107155047,-0.16897988,-0.049444526,0.4272807
107177047,-0.17495288,-0.049444526,0.4272807
107199047,-0.17793939,-0.049444526,0.42412475
107220130,-0.1868989,-0.049444526,0.42412475
107244132,-0.1868989,-0.0465145,0.42412475
107268255,-0.1928719,-0.0465145,0.4209688
107292191,-0.19585839,-0.0465145,0.41781282
107315099,-0.20481789,-0.0465145,0.41150096
107336581,-0.20780441,-0.04358447,0.41150096
107359047,-0.21377741,-0.04358447,0.3957212
107381046,-0.2197504,-0.040654443,0.3957212
107404132,-0.22273691,-0.037724413,0.3957212
107428147,-0.2257234,-0.037724413,0.38625333
107452182,-0.22870992,-0.034794383,0.38625333
107476186,-0.23468292,-0.034794383,0.3830974
107499092,-0.23766942,-0.034794383,0.37994146
107520252,-0.23766942,-0.034794383,0.38625333
107543053,-0.24364242,-0.034794383,0.3830974
107564429,-0.24961543,-0.031864356,0.3830974
107589056,-0.25260192,-0.031864356,0.37994146
107613062,-0.2555884,-0.031864356,0.37362954
107636418,-0.25260192,-0.031864356,0.3704736
107657201,-0.2585749,-0.028934326,0.3704736
107680344,-0.26156142,-0.028934326,0.3704736
107702165,-0.26454794,-0.028934326,0.36731768
107725051,-0.26454794,-0.026004298,0.3704736
107746114,-0.26454794,-0.026004298,0.36100575
107768353,-0.26753443,-0.026004298,0.3641617
107791047,-0.27052096,-0.026004298,0.36100575
107812360,-0.26753443,-0.02307427,0.3578498
107834222,-0.27052096,-0.026004298,0.36100575
107856371,-0.27052096,-0.026004298,0.3641617
107879155,-0.27350745,-0.026004298,0.35469383
107901059,-0.27350745,-0.026004298,0.36100575
107925060,-0.27350745,-0.02014424,0.3641617
107949053,-0.27052096,-0.02014424,0.3641617
107970046,-0.27052096,-0.02014424,0.36100575
107992110,-0.27350745,-0.02307427,0.3578498
108015049,-0.27052096,-0.02307427,0.3641617
108037512,-0.27350745,-0.02307427,0.36731768
108061529,-0.27350745,-0.02307427,0.36100575
108086123,-0.27350745,-0.02307427,0.36100575
108109521,-0.27350745,-0.02307427,0.3641617
108134185,-0.27350745,-0.026004298,0.3578498
108157514,-0.27052096,-0.026004298,0.36100575
108179094,-0.27350745,-0.02307427,0.36100575
108199046,-0.27052096,-0.028934326,0.3578498
108221621,-0.27052096,-0.02307427,0.3641617
108243046,-0.27052096,-0.026004298,0.35469383
108263047,-0.27052096,-0.026004298,0.3641617
108285533,-0.26753443,-0.02307427,0.3641617
108309532,-0.27052096,-0.026004298,0.3641617
108332188,-0.26753443,-0.02307427,0.3641617
108354121,-0.27052096,-0.026004298,0.36731768
108375047,-0.27052096,-0.026004298,0.36731768
108396130,-0.26753443,-0.026004298,0.3641617
108419173,-0.26753443,-0.026004298,0.36100575
108440186,-0.26753443,-0.026004298,0.36731768
108463046,-0.26753443,-0.02307427,0.36100575
108486348,-0.26454794,-0.02307427,0.3641617
108510383,-0.26753443,-0.02307427,0.3641617
108534332,-0.27052096,-0.02307427,0.3578498
108558380,-0.26753443,-0.026004298,0.36100575
108580108,-0.26753443,-0.026004298,0.3641617
108601047,-0.26753443,-0.026004298,0.36731768
108624116,-0.26753443,-0.026004298,0.37362954
108645047,-0.26753443,-0.028934326,0.3704736
108668145,-0.26753443,-0.026004298,0.36731768
